Sl no.,STATE NAME,CONSTITUENCY,latitude,longitude,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,Number of voters,VOTERS TURN OUT (IN %),MARGIN
156,Jammu & Kashmir,Anantnag,33.729729,75.14978,Mehbooba Mufti,GEN,GEN,Jammu & Kashmir Peoples Democratic Party,Ink Pot & Pen,466039,76.15,65417
157,Jammu & Kashmir,Baramulla,34.3824,74.4057,Muzaffar Hussain Baig,GEN,GEN,Jammu & Kashmir Peoples Democratic Party,Ink Pot & Pen,312245,71.93,29219
158,Jammu & Kashmir,Jammu,33.2376,74.3118,Jugal Kishore,GEN,GEN,Bharatiya Janata Party,Lotus,375281,72.69,257280
159,Jammu & Kashmir,Ladakh,34.2996,78.2932,Thupstan Chhewang,GEN,ST,Bharatiya Janata Party,Lotus,119068,69.11,36
160,Jammu & Kashmir,Srinagar,34.182,74.8741,Tariq Hameed Karra,GEN,GEN,Jammu & Kashmir Peoples Democratic Party,Ink Pot & Pen,1042375,76.09,42280
161,Jammu & Kashmir,Udhampur,33.1241,75.5277,Dr. Jitendra Singh,GEN,GEN,Bharatiya Janata Party,Lotus,1256529,77.7,60976
162,Jharkhand,Chatra,23.9572,84.6897,Sunil Kumar Singh,GEN,GEN,Bharatiya Janata Party,Lotus,951755,76.15,178026
163,Jharkhand,Dhanbad,23.6735,86.3782,Pashupati Nath Singh,GEN,GEN,Bharatiya Janata Party,Lotus,903062,71.93,292954
164,Jharkhand,Dumka,24.2124,87.1423,Shibu Soren,ST,ST,Jharkhand Mukti Morcha,Bow & Arrow,1049642,72.69,39030
165,Jharkhand,Giridih,24.2069,86.3921,Ravindra Kumar Pandey,GEN,GEN,Bharatiya Janata Party,Lotus,712980,69.11,40313
166,Jharkhand,Godda,24.3926,86.6611,Nishikant Dubey,GEN,GEN,Bharatiya Janata Party,Lotus,1024939,76.09,60682
